NO;Tanggal;BI-7Day-RR
1;16 Juli 2025;5.25 %
2;18 Juni 2025;5.50 %
3;21 Mei 2025;5.50 %
4;23 April 2025;5.75 %
5;19 Maret 2025;5.75 %
6;19 Februari 2025;5.75 %
7;15 Januari 2025;5.75 %
8;18 Desember 2024;6.00 %
9;20 November 2024;6.00 %
10;16 Oktober 2024;6.00 %
11;18 September 2024;6.00 %
12;21 Agustus 2024;6.25 %
13;17 Juli 2024;6.25 %
14;20 Juni 2024;6.25 %
15;22 Mei 2024;6.25 %
16;24 April 2024;6.25 %
17;20 Maret 2024;6.00 %
18;21 Februari 2024;6.00 %
19;17 Januari 2024;6.00 %
20;21 Desember 2023;6.00 %
21;23 November 2023;6.00 %
22;19 Oktober 2023;6.00 %
23;21 September 2023;5.75 %
24;24 Agustus 2023;5.75 %
25;25 Juli 2023;5.75 %
26;22 Juni 2023;5.75 %
27;25 Mei 2023;5.75 %
28;18 April 2023;5.75 %
29;16 Maret 2023;5.75 %
30;16 Februari 2023;5.75 %
31;19 Januari 2023;5.75 %
32;22 Desember 2022;5.50 %
33;17 November 2022;5.25 %
34;20 Oktober 2022;4.75 %
35;22 September 2022;4.25 %
36;23 Agustus 2022;3.75 %
37;21 Juli 2022;3.50 %
38;23 Juni 2022;3.50 %
39;24 Mei 2022;3.50 %
40;19 April 2022;3.50 %
41;17 Maret 2022;3.50 %
42;10 Februari 2022;3.50 %
43;20 Januari 2022;3.50 %
44;16 Desember 2021;3.50 %
45;18 November 2021;3.50 %
46;19 Oktober 2021;3.50 %
47;21 September 2021;3.50 %
48;19 Agustus 2021;3.50 %
49;22 Juli 2021;3.50 %
50;17 Juni 2021;3.50 %
51;25 Mei 2021;3.50 %
52;20 April 2021;3.50 %
53;18 Maret 2021;3.50 %
54;18 Februari 2021;3.50 %
55;21 Januari 2021;3.75 %
