Periode,Data Inflasi
Aug-25,2.31
Jul-25,2.37
Jun-25,1.87
May-25,1.60
Apr-25,1.95
Mar-25,1.03
Feb-25,-0.09
Jan-25,0.76
Dec-24,1.57
Nov-24,1.55
Oct-24,1.71
Sep-24,1.84
Aug-24,2.12
Jul-24,2.13
Jun-24,2.51
May-24,2.84
Apr-24,3.00
Mar-24,3.05
Feb-24,2.75
Jan-24,2.57
Dec-23,2.61
Nov-23,2.86
Oct-23,2.56
Sep-23,2.28
Aug-23,3.27
Jul-23,3.08
Jun-23,3.52
May-23,4.00
Apr-23,4.33
Mar-23,4.97
Feb-23,5.47
Jan-23,5.28
Dec-22,5.51
Nov-22,5.42
Oct-22,5.71
Sep-22,5.95
Aug-22,4.69
Jul-22,4.94
Jun-22,4.35
May-22,3.55
Apr-22,3.47
Mar-22,2.64
Feb-22,2.06
Jan-22,2.18
Dec-21,1.87
Nov-21,1.75
Oct-21,1.66
Sep-21,1.60
Aug-21,1.59
Jul-21,1.52
Jun-21,1.33
May-21,1.68
Apr-21,1.42
Mar-21,1.37
Feb-21,1.38
Jan-21,1.55
Dec-20,1.68
Nov-20,1.59

